id,Sample Code,soilSource,soilRange,soilSite,seedRange,combo,patchType,seedSite,Sample Name,feature count,shannon_r1000,shannon
16S_10,M127,PSF Experiment Root Wash,Invaded,LEB,Native,invSoil_natSeed,nonYST,SAZ,733 SAZ LEB,7765,5.483516578,5.484600232
16S_100,M182,PSF Experiment Root Wash,Invaded,LEB,Native,invSoil_natSeed,nonYST,SAZ,417 SAZ LEB,47615,7.253566689,7.340317845
16S_101,M183,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,TRI,449 TRI GIL,34007,6.949388211,7.008078285
16S_102,M185,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,RB,403 RB GIL,23743,6.608921695,6.606757232
16S_103,M188,PSF Experiment Root Wash,Invaded,TRI,Invaded,invSoil_invSeed,nonYST,RB,1 RB TRI,10321,5.223629062,5.185272975
16S_104,M134,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,TRI,806 TRI Control,13939,6.191110697,6.267013677
16S_105,M158,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,GIL,445 GIL CONTROL,18252,6.357919014,6.399650499
16S_11,M43,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,LEB,57 LEB GIL,16990,5.742654619,5.829198423
16S_117,M159,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,TRI,564 TRI Control,18564,6.293447806,6.385455548
16S_12,M194,PSF Experiment Root Wash,Invaded,TRI,Invaded,invSoil_invSeed,nonYST,GIL,353 GIL TRI,3093,4.332742818,4.335038063
16S_121,M190,PSF Experiment Root Wash,Invaded,GIL,Native,invSoil_natSeed,nonYST,GRA,25 GRA GIL,14446,5.758502193,5.76604325
16S_122,M191,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,RB,379 RB LEB,20244,6.141001507,6.206555095
16S_123,M195,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,LEB,337 LEB GIL,21316,6.419078316,6.468782704
16S_124,M196,PSF Experiment Root Wash,Invaded,TRI,Invaded,invSoil_invSeed,nonYST,TRI,334 TRI TRI,16359,5.927123017,5.963689086
16S_125,M197,PSF Experiment Root Wash,Invaded,TRI,Native,invSoil_natSeed,nonYST,SAZ,415 SAZ TRI,31572,6.687854655,6.735983532
16S_126,M198,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,RB,434 RB RB,23057,6.447560701,6.538083928
16S_127,M199,PSF Experiment Root Wash,Invaded,GIL,Native,invSoil_natSeed,nonYST,GRA,342 GRA GIL,17479,6.119404448,6.243790644
16S_128,M202,PSF Experiment Root Wash,Invaded,TRI,Invaded,invSoil_invSeed,nonYST,TRI,446 TRI TRI,25966,6.624354406,6.604553593
16S_129,M160,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,LEB,352 LEB Control,22598,6.407828709,6.410438676
16S_134,M79,PSF Experiment Root Wash,Invaded,GIL,Native,invSoil_natSeed,nonYST,CAN,71 CAN GIL,35210,6.991991098,7.072250916
16S_135,M108,PSF Experiment Root Wash,Native,SAZ,Invaded,natSoil_invSeed,nonYST,RB,777 RB SAZ,15808,6.154001922,6.200525049
16S_136,M109,PSF Experiment Root Wash,Invaded,LEB,Native,invSoil_natSeed,nonYST,CAN,770 CAN LEB,18295,6.304202116,6.313324708
16S_137,MF140,PSF Experiment Root Wash,Native,SAZ,Native,natSoil_natSeed,nonYST,SAZ,69 SAZ SAZ,23710,6.470687899,6.497670553
16S_138,MF143,PSF Experiment Root Wash,Native,CAZ,Native,natSoil_natSeed,nonYST,SAZ,377 SAZ CAZ,15856,5.898035986,5.910688756
16S_139,MF172,PSF Experiment Root Wash,Native,SAZ,Native,natSoil_natSeed,nonYST,SAZ,578 SAZ SAZ,12495,5.785223901,5.781808291
16S_140,MF181,PSF Experiment Root Wash,Native,GRA,Native,natSoil_natSeed,nonYST,SAZ,76 SAZ GRA,13424,5.547119737,5.571018894
16S_141,M161,PSF Experiment Root Wash,Invaded,RB,Native,invSoil_natSeed,nonYST,GRA,383 GRA RB,17106,6.114941731,6.110176516
16S_144,M48,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,RB,273 RB LEB,25126,6.563125838,6.656773629
16S_145,M135,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,GIL,295 GIL LEB,23312,6.524780449,6.563081611
16S_146,M136,PSF Experiment Root Wash,Invaded,LEB,Native,invSoil_natSeed,nonYST,GRA,340 GRA LEB,26512,6.753465805,6.849222708
16S_147,M137,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,RB,778 RB GIL,15015,6.07220047,6.118677101
16S_148,M138,PSF Experiment Root Wash,Invaded,TRI,Native,invSoil_natSeed,nonYST,SAZ,586 SAZ TRI,24082,6.487496111,6.54578265
16S_149,M139,PSF Experiment Root Wash,Invaded,TRI,Invaded,invSoil_invSeed,nonYST,GIL,766 GIL TRI,20134,6.186520283,6.252123317
16S_150,M140,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,TRI,775 TRI GIL,44680,7.265600516,7.335754669
16S_151,M141,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,LEB,756 LEB LEB,24920,6.176729354,6.260309818
16S_152,M142,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,RB,23 RB Control,16726,6.179926137,6.251636557
16S_153,M163,PSF Experiment Root Wash,Invaded,RB,Native,invSoil_natSeed,nonYST,SAZ,616 SAZ RB,16747,6.235271969,6.336597942
16S_156,M49,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,GIL,359 GIL GIL,11863,5.552264309,5.526422445
16S_158,M144,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,GIL,14 GIL RB,8909,5.198080909,5.24191127
16S_159,M145,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,GIL,742 GIL RB,25069,6.646201768,6.685935138
16S_160,M146,PSF Experiment Root Wash,Invaded,RB,Native,invSoil_natSeed,nonYST,SAZ,407 SAZ RB,11761,5.246632241,5.332119938
16S_161,M147,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,TRI,49 TRI RB,34799,7.022225004,7.028595713
16S_162,M116,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,LEB,572 LEB RB,24630,6.626596118,6.65254811
16S_163,M117,PSF Experiment Root Wash,Invaded,TRI,Invaded,invSoil_invSeed,nonYST,LEB,587 LEB TRI,25685,6.704953424,6.782974189
16S_164,M118,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,RB,739 RB Control,27307,6.844919226,6.917781702
16S_165,M164,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,LEB,72 LEB Control,23714,6.186133529,6.279994604
16S_167,M50,PSF Experiment Root Wash,Invaded,LEB,Native,invSoil_natSeed,nonYST,GRA,400 GRA LEB,16218,5.825266088,5.860666576
16S_168,M119,PSF Experiment Root Wash,Invaded,GIL,Native,invSoil_natSeed,nonYST,CAN,757 CAN GIL,12742,5.816941903,5.806507905
16S_169,M120,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,LEB,774 LEB GIL,373,,5.92952659
16S_170,M121,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,TRI,781 TRI LEB,13262,5.875206954,6.342121976
16S_173,M124,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,LEB,780 LEB Control,25266,6.227051768,
16S_174,M125,PSF Experiment Root Wash,Invaded,TRI,Invaded,invSoil_invSeed,nonYST,TRI,744 TRI TRI,7203,4.659242417,4.669722285
16S_175,M126,PSF Experiment Root Wash,Native,GRA,Invaded,natSoil_invSeed,nonYST,RB,801 RB GRA,6666,5.355526701,5.421638952
16S_176,M166,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,GIL,10 GIL Control,15485,6.067246963,6.124613552
16S_179,M53,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,LEB,299 LEB LEB,20486,6.551581451,6.605120776
16S_182,M150,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,GIL,609 GIL Control,21635,6.295556141,6.36069706
16S_183,M152,PSF Experiment Root Wash,Invaded,TRI,Native,invSoil_natSeed,nonYST,GRA,276 GRA TRI,39771,7.060450362,7.137913175
16S_184,M153,PSF Experiment Root Wash,Invaded,GIL,Native,invSoil_natSeed,nonYST,SAZ,571 SAZ GIL,23123,6.371713516,6.453723954
16S_185,M154,PSF Experiment Root Wash,Invaded,LEB,Native,invSoil_natSeed,nonYST,SAZ,56 SAZ LEB,42803,7.149656039,7.221509481
16S_186,M155,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,TRI,439 TRI Control,25570,6.294435583,6.292856788
16S_187,M156,PSF Experiment Root Wash,Control,Control,Invaded,conSoil_invSeed,nonYST,RB,549 RB Control,23905,6.326511764,6.417794949
16S_188,M168,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,RB,325 RB RB,10754,5.632762185,5.630268082
16S_22,M128,PSF Experiment Root Wash,Native,CAN,Native,natSoil_natSeed,nonYST,SAZ,787 SAZ CAN,3202,3.941080746,3.908666354
16S_23,MF43,PSF Experiment Root Wash,Native,SAZ,Native,natSoil_natSeed,nonYST,SAZ,752 SAZ SAZ,3734,4.010406735,4.012119919
16S_24,M200,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,GIL,21 GIL LEB,6449,4.708843554,4.728523301
16S_34,M129,PSF Experiment Root Wash,Invaded,RB,Native,invSoil_natSeed,nonYST,CAN,759 CAN RB,25991,6.816462358,6.895300148
16S_35,MF44,PSF Experiment Root Wash,Native,SAZ,Native,natSoil_natSeed,nonYST,CAN,734 CAN SAZ,40,,
16S_36,M201,PSF Experiment Root Wash,Invaded,TRI,Native,invSoil_natSeed,nonYST,SAZ,358 SAZ TRI,141,,
16S_46,M130,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,RB,800 RB RB,13507,6.12015463,6.131160956
16S_47,M170,PSF Experiment Root Wash,Invaded,TRI,Native,invSoil_natSeed,nonYST,CAN,70 CAN TRI,3112,3.41398429,3.398456602
16S_48,M81,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,LEB,63 LEB RB,3271,3.922622713,3.957191142
16S_49,M61,PSF Experiment Root Wash,Invaded,RB,Invaded,invSoil_invSeed,nonYST,TRI,375 TRI RB,1878,2.55117864,
16S_50,M62,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,GIL,368 GIL LEB,9499,5.461594434,5.549511535
16S_51,M63,PSF Experiment Root Wash,Invaded,GIL,Invaded,invSoil_invSeed,nonYST,TRI,338 TRI GIL,8778,5.051124663,5.076108227
16S_52,M64,PSF Experiment Root Wash,Invaded,RB,Native,invSoil_natSeed,nonYST,GRA,346 GRA RB,11869,5.64866532,5.683835341
16S_53,M65,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,TRI,311 TRI LEB,5842,4.799548543,4.830829005
16S_54,M66,PSF Experiment Root Wash,Invaded,TRI,Native,invSoil_natSeed,nonYST,CAN,420 CAN TRI,1208,2.056387782,
16S_55,M67,PSF Experiment Root Wash,Invaded,LEB,Invaded,invSoil_invSeed,nonYST,TRI,389 TRI LEB,2470,3.84560648,
16S_56,M68,PSF Experiment Root Wash,Invaded,LEB,Native,invSoil_natSeed,nonYST,CAN,405 CAN LEB,21548,6.269995226,6.291918429
16S_58,M131,PSF Experiment Root Wash,Invaded,TRI,Native,invSoil_natSeed,nonYST,CAN,755 CAN TRI,23726,6.536731002,6.571901682
